	Unnamed: 0	basename	author	title	genre	subgenre	placeName	occurrences	coord	long	lat	prediction
38	38	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Byzance	1	41.005902, 28.9738815	41.005902	28.9738815	1
39	39	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Chaldée	1	40.5, 39.5	40.5	39.5	1
40	40	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Danube	1	45.33333, 29.66667	45.33333	29.66667	1
41	41	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Espagne	2	40, -4	40.0	-4.0	0
42	42	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Espagne	2	40, -4	40.0	-4.0	0
43	43	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Euphrate	1	34.606583632, 41.3596819651	34.606583632	41.3596819651	1
44	44	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Europe	1	48.69096, 9.14062	48.69096	9.14062	1
45	45	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4	46, 2	46.0	2.0	0
46	46	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4	46, 2	46.0	2.0	0
47	47	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4	46, 2	46.0	2.0	0
48	48	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	France	4	46, 2	46.0	2.0	0
49	49	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Grèce	1	39, 22	39.0	22.0	1
50	50	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Inde	1	22.5, 77.5	22.5	77.5	0
51	51	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Italie	1	42.83333, 12.83333	42.83333	12.83333	0
52	52	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Léon	1	42.66667, -6	42.66667	-6.0	0
53	53	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mexique	1	23, -102	23.0	-102.0	0
54	54	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Moscovie	1	55.75222, 37.61556	55.75222	37.61556	0
55	55	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Mycènes	1	37.7300345711, 22.7540710459	37.7300345711	22.7540710459	1
56	56	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
57	57	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
58	58	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
59	59	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
60	60	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
61	61	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
62	62	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
63	63	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
64	64	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
65	65	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
66	66	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Paris	11	48.85341, 2.3488	48.85341	2.3488	0
67	67	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Perse	1	32, 53	32.0	53.0	1
68	68	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133	41.89193	12.51133	1
69	69	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Rome	1	41.89193, 12.51133	41.89193	12.51133	1
70	70	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Syrie	1	37.5, 37.5	37.5	37.5	1
71	71	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Tyr	1	33.2698475, 35.2038435	33.2698475	35.2038435	1
72	72	GILLET_FRANCION	GILLET DE LA TESSONERIE	LA COMÉDIE DE FRANCION, COMÉDIE	theatre	comedy	Vésuve	1	40.82293, 14.42874	40.82293	14.42874	0
73	73	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Afrique	4	32.5, 7.5	32.5	7.5	1
74	74	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Afrique	4	32.5, 7.5	32.5	7.5	1
75	75	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Afrique	4	32.5, 7.5	32.5	7.5	1
76	76	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Afrique	4	32.5, 7.5	32.5	7.5	1
77	77	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Amathonte	1	34.71292, 33.1429	34.71292	33.1429	0
78	78	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Asie	1	29.84064, 89.29688	29.84064	89.29688	1
79	79	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Corinthe	1	37.8980016198, 22.8999795422	37.8980016198	22.8999795422	1
80	80	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Crète	1	35.0627201667, 24.9469437222	35.0627201667	24.9469437222	1
81	81	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Grèce	2	39, 22	39.0	22.0	1
82	82	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Grèce	2	39, 22	39.0	22.0	1
83	83	JODELLE_DIDON	JODELLE, Étienne	DIDON SE SACRIFIANT, TRAGÉDIE.	theatre	tragedy	Italie	5	42.83333, 12.83333	42.83333	12.83333	0
