code	author	title	genre	subgenre	place
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Babylone	8
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Babylone	8
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Babylone	8
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Babylone	8
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Babylone	8
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Euphrate	3
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Euphrate	3
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Euphrate	3
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Grèce	3
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Grèce	3
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Grèce	3
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Perse	1
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Rome	1
VOLTAIRE_OLYMPIE	VOLTAIRE (1694-1778)	OLYMPIE, TRAGÉDIE EN CINQ ACTES.	theatre	tragedy	Rome	1
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Égypte	2
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Égypte	2
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Jérusalem	1
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Jourdain	1
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Perse	1
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Sion	2
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Sion	2
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Syrie	1
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Tyr	4
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Tyr	4
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Tyr	4
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Tyr	4
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Vas	2
MONTCHRETIEN_AMAN	MONTCHRESTIEN Antoine de (1575?-1621)	AMAN, OU LA VANITÉ TRAGÉDIE	theatre	tragedy	Vas	2
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Léon	2
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Léon	2
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Paris	5
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Paris	5
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Paris	5
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Paris	5
BLEMOND_MOLIEREAUTEUIL	Émile BLÉMONT (1839-1927)	MOLIÈRE À AUTEUIL, COMÉDIE EN UN ACTE ET EN VERS	theatre	comedy	Paris	5
DORAT_CELIBATAIRE	DORAT, Claude-Joseph	LE CÉLIBATAIRE, COMÉDIE EN CINQ ACTES ET EN VERS	theatre	comedy	France	1
DORAT_CELIBATAIRE	DORAT, Claude-Joseph	LE CÉLIBATAIRE, COMÉDIE EN CINQ ACTES ET EN VERS	theatre	comedy	Paris	2
DORAT_CELIBATAIRE	DORAT, Claude-Joseph	LE CÉLIBATAIRE, COMÉDIE EN CINQ ACTES ET EN VERS	theatre	comedy	Paris	2
SORET_CECILIADE	Nicolas SORET (15..-16..)	LA CÉCILIADE, OU MARTYRE SANGLANT DE SAINTE CÉCILE, TRAGÉDIE.	theatre	tragedy	Cythère	1
SORET_CECILIADE	Nicolas SORET (15..-16..)	LA CÉCILIADE, OU MARTYRE SANGLANT DE SAINTE CÉCILE, TRAGÉDIE.	theatre	tragedy	France	1
SORET_CECILIADE	Nicolas SORET (15..-16..)	LA CÉCILIADE, OU MARTYRE SANGLANT DE SAINTE CÉCILE, TRAGÉDIE.	theatre	tragedy	Inde	1
SORET_CECILIADE	Nicolas SORET (15..-16..)	LA CÉCILIADE, OU MARTYRE SANGLANT DE SAINTE CÉCILE, TRAGÉDIE.	theatre	tragedy	Italie	1
SORET_CECILIADE	Nicolas SORET (15..-16..)	LA CÉCILIADE, OU MARTYRE SANGLANT DE SAINTE CÉCILE, TRAGÉDIE.	theatre	tragedy	Jérusalem	1
